replicate,k,purity
0,1,0.1025
1,1,0.10383
2,1,0.11727000000000001
3,1,0.10815000000000001
4,1,0.11634
5,1,0.10796999999999998
6,1,0.1514
7,1,0.10310000000000001
8,1,0.10739999999999998
9,1,0.15389000000000003
10,1,0.11900000000000002
11,1,0.25361
12,1,0.10833000000000001
13,1,0.10934000000000002
14,1,0.1089
15,1,0.10727
16,1,0.16499999999999998
17,1,0.12331999999999999
18,1,0.11872
19,1,0.11511
20,1,0.10333
21,1,0.17882
22,1,0.10264999999999999
23,1,0.11932000000000001
24,1,0.10672
25,1,0.10880000000000001
26,1,0.10739999999999998
27,1,0.11777
28,1,0.12130999999999999
29,1,0.12613000000000002
30,1,0.11564999999999999
31,1,0.10726
32,1,0.16043000000000002
33,1,0.16560999999999998
34,1,0.10506000000000001
35,1,0.10288000000000001
36,1,0.12133000000000001
37,1,0.12168000000000001
38,1,0.15880999999999998
39,1,0.11848999999999998
40,1,0.15753999999999999
41,1,0.10758000000000001
42,1,0.11783999999999999
43,1,0.11901000000000002
44,1,0.11145000000000001
45,1,0.10629
46,1,0.11238000000000001
47,1,0.11995
48,1,0.11416
49,1,0.11400999999999999
0,2,0.12888
1,2,0.11456999999999999
2,2,0.18810000000000002
3,2,0.11143999999999998
4,2,0.12951
5,2,0.12602
6,2,0.14940000000000003
7,2,0.11556000000000002
8,2,0.12223999999999999
9,2,0.14450000000000002
10,2,0.24134000000000003
11,2,0.12116
12,2,0.23089999999999994
13,2,0.12798
14,2,0.11731
15,2,0.13121
16,2,0.11142999999999999
17,2,0.20333
18,2,0.10819000000000001
19,2,0.12001999999999999
20,2,0.12516
21,2,0.12516
22,2,0.1068
23,2,0.11834
24,2,0.13140000000000002
25,2,0.11555
26,2,0.13749
27,2,0.11239000000000002
28,2,0.13258
29,2,0.15177000000000002
30,2,0.22351000000000001
31,2,0.12528999999999998
32,2,0.12166999999999999
33,2,0.12635000000000002
34,2,0.11168
35,2,0.151
36,2,0.13301000000000002
37,2,0.1453
38,2,0.12057
39,2,0.12108000000000001
40,2,0.12664999999999998
41,2,0.11939
42,2,0.23877000000000007
43,2,0.12794
44,2,0.12516
45,2,0.16906000000000002
46,2,0.12149000000000001
47,2,0.14796
48,2,0.13341
49,2,0.17206000000000002
0,3,0.13444000000000003
1,3,0.13062
2,3,0.13123
3,3,0.10919000000000001
4,3,0.14581999999999998
5,3,0.13697
6,3,0.10906
7,3,0.13428
8,3,0.13953
9,3,0.17207999999999998
10,3,0.1253
11,3,0.21520999999999998
12,3,0.1469
13,3,0.19574999999999998
14,3,0.11198999999999999
15,3,0.18914
16,3,0.14536999999999997
17,3,0.10679999999999998
18,3,0.10856000000000002
19,3,0.11524000000000001
20,3,0.10677
21,3,0.15158
22,3,0.11901999999999999
23,3,0.11727000000000001
24,3,0.12475999999999998
25,3,0.11077
26,3,0.12850999999999999
27,3,0.11286999999999998
28,3,0.12276000000000001
29,3,0.11111
30,3,0.11163000000000001
31,3,0.19346999999999998
32,3,0.10159
33,3,0.11374
34,3,0.12447000000000001
35,3,0.10815000000000001
36,3,0.11875
37,3,0.14076999999999998
38,3,0.15462
39,3,0.14016
40,3,0.10622000000000001
41,3,0.13913999999999999
42,3,0.10845
43,3,0.15841999999999998
44,3,0.11487
45,3,0.14545
46,3,0.15063999999999997
47,3,0.1112
48,3,0.14738
49,3,0.10499
0,4,0.11718000000000002
1,4,0.13540999999999997
2,4,0.11686
3,4,0.13396000000000002
4,4,0.13637000000000002
5,4,0.15697
6,4,0.12714000000000003
7,4,0.10779000000000001
8,4,0.14668
9,4,0.13167
10,4,0.10716
11,4,0.10598
12,4,0.12165999999999999
13,4,0.12822
14,4,0.13844
15,4,0.1075
16,4,0.12919
17,4,0.12686000000000003
18,4,0.12321
19,4,0.11356
20,4,0.11754
21,4,0.15443
22,4,0.11628000000000001
23,4,0.15675
24,4,0.22149000000000002
25,4,0.17949
26,4,0.12047
27,4,0.10876999999999999
28,4,0.14221999999999999
29,4,0.10572
30,4,0.11804
31,4,0.14343
32,4,0.14725
33,4,0.10626
34,4,0.10900000000000001
35,4,0.17292000000000002
36,4,0.11698
37,4,0.13993000000000003
38,4,0.13026
39,4,0.10905000000000002
40,4,0.15397
41,4,0.1
42,4,0.12993000000000002
43,4,0.12685
44,4,0.19
45,4,0.13124000000000002
46,4,0.10917000000000002
47,4,0.12034
48,4,0.11184000000000001
49,4,0.16661
0,5,0.16108
1,5,0.17382
2,5,0.14801
3,5,0.11756
4,5,0.12557000000000001
5,5,0.14018999999999998
6,5,0.15786999999999998
7,5,0.16727999999999998
8,5,0.11372
9,5,0.12196
10,5,0.11234999999999999
11,5,0.11918
12,5,0.1388
13,5,0.11565
14,5,0.12758
15,5,0.12772
16,5,0.11815
17,5,0.12318
18,5,0.17763
19,5,0.17059000000000002
20,5,0.10711999999999999
21,5,0.11422000000000002
22,5,0.1438
23,5,0.17138
24,5,0.1036
25,5,0.11105000000000001
26,5,0.14640999999999998
27,5,0.13957999999999998
28,5,0.13033
29,5,0.12029999999999999
30,5,0.11617999999999999
31,5,0.13672
32,5,0.1512
33,5,0.11298
34,5,0.16399
35,5,0.16277999999999998
36,5,0.14201000000000003
37,5,0.12794
38,5,0.12252
39,5,0.1381
40,5,0.12457
41,5,0.15423
42,5,0.13255
43,5,0.17637
44,5,0.11331999999999998
45,5,0.11664
46,5,0.16314
47,5,0.12048999999999999
48,5,0.14604
49,5,0.20946000000000004
0,6,0.12291
1,6,0.11942000000000001
2,6,0.11845000000000001
3,6,0.13728
4,6,0.11302999999999999
5,6,0.11354000000000002
6,6,0.11500999999999999
7,6,0.11982
8,6,0.12256999999999998
9,6,0.11182999999999998
10,6,0.11493
11,6,0.11367000000000001
12,6,0.10777
13,6,0.17381
14,6,0.12691999999999998
15,6,0.11280000000000001
16,6,0.14753
17,6,0.16927
18,6,0.15794
19,6,0.17580999999999997
20,6,0.12695
21,6,0.13052999999999998
22,6,0.14356
23,6,0.12307000000000001
24,6,0.11136000000000001
25,6,0.11531
26,6,0.10697000000000001
27,6,0.11918
28,6,0.14757
29,6,0.23711
30,6,0.12257
31,6,0.11752
32,6,0.14311000000000001
33,6,0.12619
34,6,0.12638
35,6,0.11702000000000001
36,6,0.12843
37,6,0.15128999999999998
38,6,0.16333999999999999
39,6,0.12924
40,6,0.11935
41,6,0.1193
42,6,0.14786
43,6,0.13418
44,6,0.144
45,6,0.17118000000000003
46,6,0.12813999999999998
47,6,0.12646
48,6,0.11102000000000001
49,6,0.14819
0,7,0.11894999999999997
1,7,0.11959
2,7,0.16504000000000002
3,7,0.11682
4,7,0.12154000000000001
5,7,0.19780999999999999
6,7,0.12065000000000001
7,7,0.12345999999999999
8,7,0.12278
9,7,0.12345999999999999
10,7,0.12347
11,7,0.18536
12,7,0.11596999999999999
13,7,0.21542
14,7,0.1202
15,7,0.16694
16,7,0.14659
17,7,0.11696999999999999
18,7,0.13334
19,7,0.12383
20,7,0.12502
21,7,0.13796
22,7,0.11468
23,7,0.11840999999999999
24,7,0.12051
25,7,0.20967000000000002
26,7,0.12578
27,7,0.21056999999999998
28,7,0.17207
29,7,0.11559
30,7,0.16415000000000002
31,7,0.11925000000000001
32,7,0.12444
33,7,0.18009
34,7,0.12715
35,7,0.14438
36,7,0.22863000000000003
37,7,0.16836
38,7,0.16443000000000002
39,7,0.1276
40,7,0.11946000000000001
41,7,0.11886
42,7,0.11916
43,7,0.17736000000000002
44,7,0.13118000000000002
45,7,0.16838
46,7,0.17339
47,7,0.11639
48,7,0.15724
49,7,0.16641
0,8,0.2433
1,8,0.11815
2,8,0.11957999999999999
3,8,0.11877
4,8,0.11500999999999999
5,8,0.20768999999999999
6,8,0.14795999999999998
7,8,0.12175
8,8,0.14604999999999999
9,8,0.24399999999999994
10,8,0.11986000000000001
11,8,0.12167000000000001
12,8,0.30304000000000003
13,8,0.12861
14,8,0.16406
15,8,0.12247999999999999
16,8,0.12685
17,8,0.15488
18,8,0.20750000000000002
19,8,0.11220000000000001
20,8,0.11639000000000002
21,8,0.16385
22,8,0.21551
23,8,0.12154000000000001
24,8,0.12205000000000002
25,8,0.23772
26,8,0.14755000000000001
27,8,0.15809
28,8,0.11861999999999999
29,8,0.20903999999999998
30,8,0.15053999999999998
31,8,0.20676999999999998
32,8,0.11752
33,8,0.13645000000000002
34,8,0.12174
35,8,0.15504
36,8,0.20758000000000001
37,8,0.11639
38,8,0.15113000000000001
39,8,0.21538999999999997
40,8,0.12303999999999997
41,8,0.13748000000000002
42,8,0.20704000000000003
43,8,0.21526
44,8,0.20358
45,8,0.11970999999999998
46,8,0.17023000000000002
47,8,0.12652000000000002
48,8,0.21198
49,8,0.11818999999999999
0,9,0.15077000000000002
1,9,0.16202
2,9,0.1259
3,9,0.12076
4,9,0.17195000000000002
5,9,0.12355000000000001
6,9,0.24857
7,9,0.16017000000000003
8,9,0.13047999999999998
9,9,0.11744000000000002
10,9,0.1179
11,9,0.14604
12,9,0.12504
13,9,0.13055999999999998
14,9,0.13734
15,9,0.16279
16,9,0.12184000000000002
17,9,0.11970999999999998
18,9,0.13123
19,9,0.12095
20,9,0.11751999999999999
21,9,0.12777000000000002
22,9,0.21594000000000002
23,9,0.1607
24,9,0.12495000000000003
25,9,0.13273
26,9,0.14906999999999998
27,9,0.12815000000000001
28,9,0.17516
29,9,0.1359
30,9,0.22766999999999998
31,9,0.11764000000000001
32,9,0.11711
33,9,0.21259
34,9,0.13823000000000002
35,9,0.12360000000000002
36,9,0.14749
37,9,0.12482000000000001
38,9,0.13497
39,9,0.16570000000000001
40,9,0.15303
41,9,0.13332
42,9,0.12802
43,9,0.15452
44,9,0.12350000000000003
45,9,0.16289
46,9,0.12081000000000001
47,9,0.12972
48,9,0.13401999999999997
49,9,0.15759
0,10,0.14108
1,10,0.19931000000000001
2,10,0.16088
3,10,0.16304000000000002
4,10,0.18696000000000002
5,10,0.16591
6,10,0.14784000000000003
7,10,0.13902
8,10,0.24365
9,10,0.14689999999999998
10,10,0.13935
11,10,0.15555000000000002
12,10,0.17654999999999998
13,10,0.15002
14,10,0.16362000000000002
15,10,0.16819
16,10,0.1417
17,10,0.14244
18,10,0.14825000000000002
19,10,0.15030000000000002
20,10,0.1774
21,10,0.14233
22,10,0.15611999999999998
23,10,0.18708
24,10,0.13416
25,10,0.15521000000000001
26,10,0.14299
27,10,0.17908000000000002
28,10,0.14753
29,10,0.15278999999999998
30,10,0.13945
31,10,0.14767
32,10,0.17281000000000002
