replicate,k,purity
0,1,0.10952999999999999
1,1,0.1052
2,1,0.11309
3,1,0.1306
4,1,0.1
5,1,0.10417000000000001
6,1,0.11252
7,1,0.10625
8,1,0.10501
9,1,0.10738999999999999
10,1,0.10928
11,1,0.10477
12,1,0.11467000000000001
13,1,0.09999
14,1,0.09999000000000001
15,1,0.1
16,1,0.10001
17,1,0.10777999999999999
18,1,0.10002
19,1,0.1
20,1,0.11213
21,1,0.11108888888888889
22,1,0.11001000000000001
23,1,0.10002
24,1,0.1
25,1,0.10595000000000002
26,1,0.10637
27,1,0.10597000000000001
28,1,0.1
29,1,0.11091999999999999
30,1,0.10927
31,1,0.11146
32,1,0.1
33,1,0.10373000000000002
34,1,0.09999000000000001
35,1,0.1
36,1,0.10538
37,1,0.10001
38,1,0.10668
39,1,0.10001
40,1,0.10737000000000001
41,1,0.10002
42,1,0.10001
43,1,0.10725
44,1,0.1
45,1,0.10001
46,1,0.10407
47,1,0.10429000000000002
48,1,0.10726
49,1,0.1
0,2,0.10001
1,2,0.10777
2,2,0.10936000000000001
3,2,0.10001
4,2,0.10637
5,2,0.10893
6,2,0.20461000000000001
7,2,0.10889
8,2,0.10001
9,2,0.11333000000000001
10,2,0.11022000000000001
11,2,0.10387000000000002
12,2,0.11019000000000001
13,2,0.10952999999999999
14,2,0.10608999999999999
15,2,0.1
16,2,0.10001
17,2,0.10712000000000002
18,2,0.09999
19,2,0.10002
20,2,0.11117000000000002
21,2,0.1133
22,2,0.10711999999999999
23,2,0.10954000000000001
24,2,0.10629999999999999
25,2,0.1
26,2,0.10875000000000001
27,2,0.1102
28,2,0.10875000000000001
29,2,0.10407999999999999
30,2,0.10001
31,2,0.10001000000000002
32,2,0.11002
33,2,0.10725
34,2,0.20925000000000002
35,2,0.11636000000000002
36,2,0.10666
37,2,0.11530000000000003
38,2,0.10833999999999999
39,2,0.10390000000000002
40,2,0.11005000000000001
41,2,0.11257000000000002
42,2,0.09999
43,2,0.11084000000000001
44,2,0.10001
45,2,0.11401999999999998
46,2,0.10001
47,2,0.11664000000000001
48,2,0.1
49,2,0.10389
0,3,0.19834000000000002
1,3,0.1
2,3,0.1
3,3,0.11352000000000002
4,3,0.10001
5,3,0.11325
6,3,0.11156999999999999
7,3,0.10001000000000002
8,3,0.10482
9,3,0.1
10,3,0.1
11,3,0.1102
12,3,0.11034999999999999
13,3,0.10001000000000002
14,3,0.10999999999999999
15,3,0.09999
16,3,0.10001000000000002
17,3,0.11439000000000002
18,3,0.09999
19,3,0.1
20,3,0.10539999999999998
21,3,0.11166000000000002
22,3,0.11123000000000001
23,3,0.10358
24,3,0.10716
25,3,0.10001
26,3,0.10681
27,3,0.11071
28,3,0.11234
29,3,0.10410000000000001
30,3,0.10965
31,3,0.11066000000000001
32,3,0.11284000000000001
33,3,0.10781
34,3,0.10001
35,3,0.10517000000000003
36,3,0.11004
37,3,0.1
38,3,0.10458
39,3,0.10000000000000002
40,3,0.10001
41,3,0.09999
42,3,0.09999
43,3,0.10579000000000001
44,3,0.10999
45,3,0.1
46,3,0.11189
47,3,0.09999
48,3,0.11368
49,3,0.10001
0,4,0.10482
1,4,0.20375000000000001
2,4,0.11499000000000001
3,4,0.11347
4,4,0.12083999999999999
5,4,0.10629000000000002
6,4,0.11083000000000001
7,4,0.10668000000000002
8,4,0.12536
9,4,0.11749000000000001
10,4,0.11321
11,4,0.11893000000000002
12,4,0.10461000000000001
13,4,0.1
14,4,0.10772
15,4,0.10001
16,4,0.10424
17,4,0.11168
18,4,0.1058
19,4,0.12159
20,4,0.10001
21,4,0.11213
22,4,0.13881
23,4,0.1062
24,4,0.11222000000000001
25,4,0.10812
26,4,0.10795999999999999
27,4,0.10891999999999999
28,4,0.10001
29,4,0.1119
30,4,0.10593
31,4,0.12974
32,4,0.10486999999999999
33,4,0.10777
34,4,0.11299999999999999
35,4,0.11435999999999999
36,4,0.10539000000000001
37,4,0.11357999999999999
38,4,0.12615
39,4,0.12214
40,4,0.20709999999999998
41,4,0.1
42,4,0.11206
43,4,0.12222999999999999
44,4,0.11034
45,4,0.1111
46,4,0.09999000000000001
47,4,0.10468000000000002
48,4,0.11274999999999999
49,4,0.10718000000000001
0,5,0.13845000000000002
1,5,0.11061000000000001
2,5,0.13158
3,5,0.11926
4,5,0.11162000000000001
5,5,0.20896999999999996
6,5,0.11961000000000002
7,5,0.12293000000000003
8,5,0.12112999999999999
9,5,0.12519
10,5,0.13162000000000001
11,5,0.13451
12,5,0.21660000000000004
13,5,0.10972
14,5,0.12672
15,5,0.10593000000000001
16,5,0.12582999999999997
17,5,0.13997999999999997
18,5,0.15455
19,5,0.13038
20,5,0.1217
21,5,0.14209
22,5,0.13282
23,5,0.11141000000000001
24,5,0.21043000000000003
25,5,0.11334999999999999
26,5,0.11044999999999998
27,5,0.11848999999999998
28,5,0.11733
29,5,0.13105
30,5,0.11767000000000001
31,5,0.11835
32,5,0.12635000000000002
33,5,0.11828000000000001
34,5,0.11265
35,5,0.11120999999999999
36,5,0.11764999999999999
37,5,0.11087
38,5,0.14518
39,5,0.11285
40,5,0.13255
41,5,0.12962
42,5,0.10932000000000001
43,5,0.21113999999999997
44,5,0.14175
45,5,0.12929
46,5,0.12477
47,5,0.1277
48,5,0.12227999999999999
49,5,0.17311
0,6,0.11671999999999998
1,6,0.12414999999999998
2,6,0.12797
3,6,0.12265999999999999
4,6,0.12285000000000001
5,6,0.12001999999999999
6,6,0.22697999999999996
7,6,0.12623
8,6,0.12331
9,6,0.12411000000000001
10,6,0.12283999999999999
11,6,0.12184999999999999
12,6,0.12858000000000003
13,6,0.12499
14,6,0.12171000000000003
15,6,0.11873
16,6,0.12099
17,6,0.12239999999999998
18,6,0.12706
19,6,0.11918999999999999
20,6,0.12699
21,6,0.12398
22,6,0.12443
23,6,0.12431999999999999
24,6,0.12137999999999997
25,6,0.12017
26,6,0.12033
27,6,0.12136
28,6,0.13388
29,6,0.11803
30,6,0.12730999999999998
31,6,0.11900000000000002
32,6,0.11687
33,6,0.12496
34,6,0.12435
35,6,0.11865
36,6,0.12785
37,6,0.11903
38,6,0.12316999999999997
39,6,0.12517
