replicate,k,purity
0,1,0.12855
1,1,0.11167
2,1,0.11438
3,1,0.1499
4,1,0.11785999999999999
5,1,0.17751999999999998
6,1,0.15843
7,1,0.23498999999999998
8,1,0.12307000000000001
9,1,0.18737
10,1,0.12716
11,1,0.11701999999999999
12,1,0.11168
13,1,0.12757000000000002
14,1,0.11167
15,1,0.17574000000000004
16,1,0.13247
17,1,0.11415
18,1,0.13499999999999998
19,1,0.22121
20,1,0.11235999999999999
21,1,0.12541000000000002
22,1,0.14256
23,1,0.13951
24,1,0.13667
25,1,0.17032
26,1,0.12196
27,1,0.1356
28,1,0.14937999999999999
29,1,0.18214999999999998
30,1,0.14659000000000003
31,1,0.12185000000000001
32,1,0.19254999999999997
33,1,0.13083
34,1,0.11842000000000001
35,1,0.20837000000000003
36,1,0.11168
37,1,0.14027000000000003
38,1,0.14525
39,1,0.16665000000000002
40,1,0.14601000000000003
41,1,0.12397999999999998
42,1,0.11079000000000001
43,1,0.13316
44,1,0.12
45,1,0.12018999999999999
46,1,0.11374999999999999
47,1,0.15333999999999998
48,1,0.12051
49,1,0.17046
0,2,0.10766
1,2,0.10526000000000002
2,2,0.1339
3,2,0.17521
4,2,0.11284000000000001
5,2,0.17527
6,2,0.16293000000000002
7,2,0.10556000000000001
8,2,0.13072999999999999
9,2,0.12276000000000002
10,2,0.10778000000000001
11,2,0.1
12,2,0.15988999999999998
13,2,0.16737
14,2,0.12214
15,2,0.13494
16,2,0.12389000000000001
17,2,0.11834
18,2,0.10857999999999998
19,2,0.1443
20,2,0.14722
21,2,0.20093
22,2,0.12969
23,2,0.14711000000000002
24,2,0.13776000000000002
25,2,0.11348000000000003
26,2,0.11739999999999999
27,2,0.10833
28,2,0.10541
29,2,0.11308
30,2,0.13183
31,2,0.13085
32,2,0.11526
33,2,0.14094
34,2,0.15844
35,2,0.11544000000000001
36,2,0.10726
37,2,0.13733999999999996
38,2,0.10464
39,2,0.13743
40,2,0.12254000000000001
41,2,0.12518
42,2,0.13238
43,2,0.14064000000000002
44,2,0.14101
45,2,0.11524999999999999
46,2,0.13735000000000003
47,2,0.10855999999999999
48,2,0.12275
49,2,0.17342
0,3,0.16944
1,3,0.10954000000000001
2,3,0.11499999999999999
3,3,0.16910999999999998
4,3,0.19951999999999998
5,3,0.10449
6,3,0.16824
7,3,0.11633
8,3,0.13137000000000001
9,3,0.10896999999999998
10,3,0.21098
11,3,0.10483
12,3,0.14482
13,3,0.15416
14,3,0.20986000000000002
15,3,0.11308
16,3,0.10666
17,3,0.12557000000000001
18,3,0.10846
19,3,0.13458
20,3,0.12515
21,3,0.10769999999999999
22,3,0.11319000000000001
23,3,0.10001
24,3,0.1355
25,3,0.10891999999999999
26,3,0.11166000000000001
27,3,0.11000000000000001
28,3,0.10923999999999998
29,3,0.12962
30,3,0.11788000000000001
31,3,0.10001000000000002
32,3,0.1
33,3,0.1
34,3,0.10541
35,3,0.11205000000000001
36,3,0.12128000000000001
37,3,0.16978
38,3,0.1
39,3,0.13301999999999997
40,3,0.11501000000000001
41,3,0.21589999999999998
42,3,0.12516
43,3,0.11151000000000003
44,3,0.12667
45,3,0.10882
46,3,0.10882
47,3,0.14357
48,3,0.10388
49,3,0.13766
0,4,0.11111000000000001
1,4,0.14889000000000002
2,4,0.18000000000000002
3,4,0.1588
4,4,0.10538
5,4,0.14754
6,4,0.15854
7,4,0.15440000000000004
8,4,0.10912999999999999
9,4,0.14667000000000002
10,4,0.11439000000000002
11,4,0.15048
12,4,0.13563999999999998
13,4,0.10772
14,4,0.13679999999999998
15,4,0.13304999999999997
16,4,0.22003000000000003
17,4,0.11091
18,4,0.10572
19,4,0.2056
20,4,0.12343
21,4,0.10959
22,4,0.13267
23,4,0.13306
24,4,0.11898
25,4,0.11095999999999999
26,4,0.13832
27,4,0.12981
28,4,0.12741000000000002
29,4,0.14312
30,4,0.13262
31,4,0.16904999999999998
32,4,0.11165
33,4,0.15999000000000002
34,4,0.20053
35,4,0.14265999999999998
36,4,0.13463
37,4,0.13844
38,4,0.12787
39,4,0.18679
40,4,0.11107
41,4,0.12775
42,4,0.19251000000000001
43,4,0.12547999999999998
44,4,0.11197000000000001
45,4,0.13557
46,4,0.13913999999999999
47,4,0.11579999999999999
48,4,0.13861
49,4,0.12065
0,5,0.15448
1,5,0.10740000000000001
2,5,0.10819999999999999
3,5,0.15759
4,5,0.12534
5,5,0.1102
6,5,0.10667
7,5,0.17500000000000002
8,5,0.10464
9,5,0.11108
10,5,0.12818000000000002
11,5,0.14192000000000002
12,5,0.10573000000000002
13,5,0.13235999999999998
14,5,0.16499
15,5,0.14334
16,5,0.10723
17,5,0.12537
18,5,0.13718000000000002
19,5,0.14398
20,5,0.17844
21,5,0.12867
22,5,0.11667000000000001
23,5,0.16005999999999998
24,5,0.13579999999999998
25,5,0.13208
