replicate,k,purity
0,1,0.17106000000000002
1,1,0.1544
2,1,0.15694999999999998
3,1,0.13457999999999998
4,1,0.16687
5,1,0.16994000000000004
6,1,0.15051
7,1,0.14406999999999998
8,1,0.15876000000000004
9,1,0.13788
10,1,0.14448999999999998
11,1,0.14509
12,1,0.11586
13,1,0.15794
14,1,0.16666999999999998
15,1,0.16771
16,1,0.15882000000000002
17,1,0.14343
18,1,0.16510999999999998
19,1,0.12759
20,1,0.12742
21,1,0.17077
22,1,0.16721000000000003
23,1,0.13729
24,1,0.1553
25,1,0.18475000000000003
26,1,0.1754
27,1,0.13624
28,1,0.17382
29,1,0.15571999999999997
30,1,0.155
31,1,0.14179
32,1,0.17333
33,1,0.15612
34,1,0.19881
35,1,0.17475000000000002
36,1,0.16119
37,1,0.17229
38,1,0.14715
39,1,0.17243999999999998
40,1,0.24862
41,1,0.16936
42,1,0.15414
43,1,0.15431
44,1,0.16918
45,1,0.14311999999999997
46,1,0.1476
47,1,0.16059
48,1,0.17952
49,1,0.14352
0,2,0.2465
1,2,0.13892999999999997
2,2,0.23154
3,2,0.18868000000000001
4,2,0.16942
5,2,0.16975999999999997
6,2,0.17612
7,2,0.17468
8,2,0.18119999999999997
9,2,0.21815
10,2,0.22205999999999998
11,2,0.15475999999999998
12,2,0.14726
13,2,0.23555
14,2,0.18548
15,2,0.17344
16,2,0.31849
17,2,0.1492
18,2,0.15577999999999997
19,2,0.22092
20,2,0.14384999999999998
21,2,0.1721
22,2,0.12021000000000001
23,2,0.17170000000000002
24,2,0.13692
25,2,0.15504
26,2,0.24464000000000002
27,2,0.24155000000000001
28,2,0.14745000000000003
29,2,0.15745
30,2,0.19940000000000002
31,2,0.14665999999999998
32,2,0.13261
33,2,0.15173
34,2,0.1948
35,2,0.2878
36,2,0.22138
37,2,0.16553
38,2,0.20572
39,2,0.19274
40,2,0.16915
41,2,0.22566000000000003
42,2,0.14492
43,2,0.24061
44,2,0.18517
45,2,0.19771
46,2,0.17209
47,2,0.16379000000000002
48,2,0.15113
49,2,0.20789
0,3,0.28870000000000007
1,3,0.18697000000000003
2,3,0.21000000000000002
3,3,0.15081
4,3,0.22535
5,3,0.17793
6,3,0.1971
7,3,0.31928
8,3,0.23843999999999999
9,3,0.21319000000000005
10,3,0.14811000000000002
11,3,0.23957
12,3,0.13444
13,3,0.20578
14,3,0.15092
15,3,0.12779000000000001
16,3,0.24372000000000002
17,3,0.27454999999999996
18,3,0.14739
19,3,0.14618
20,3,0.21151
21,3,0.19233
22,3,0.12637
23,3,0.21235999999999997
24,3,0.1493
25,3,0.22776999999999997
26,3,0.14295
27,3,0.13440000000000002
28,3,0.13904999999999998
29,3,0.15559
30,3,0.23348
31,3,0.14842
32,3,0.21009000000000003
33,3,0.14364
34,3,0.22654999999999997
35,3,0.12219
36,3,0.21993000000000001
37,3,0.24568000000000004
38,3,0.24570000000000008
39,3,0.22501000000000002
40,3,0.29897
41,3,0.12849
42,3,0.1527
43,3,0.19758
44,3,0.15019
45,3,0.13268
46,3,0.20851999999999998
47,3,0.11172
48,3,0.13357
49,3,0.12746
0,4,0.15211999999999998
1,4,0.31727
2,4,0.14893
3,4,0.18282
4,4,0.22210999999999997
5,4,0.20845000000000002
6,4,0.28458000000000006
7,4,0.31765999999999994
8,4,0.2995
9,4,0.22633999999999993
10,4,0.23544
11,4,0.22074
12,4,0.23915000000000003
13,4,0.317
14,4,0.13458
15,4,0.14626999999999998
16,4,0.15583999999999998
17,4,0.27156
18,4,0.14387
19,4,0.22349999999999998
20,4,0.26810999999999996
21,4,0.2124
22,4,0.23573999999999998
23,4,0.25182000000000004
24,4,0.29771000000000003
25,4,0.32435
26,4,0.21381
27,4,0.22205
28,4,0.18133000000000002
29,4,0.22918000000000002
30,4,0.23447
31,4,0.19705
32,4,0.22013999999999995
33,4,0.22934000000000002
34,4,0.29627
35,4,0.22774
36,4,0.21156999999999998
37,4,0.36983
38,4,0.27033
39,4,0.22930999999999999
40,4,0.36700999999999995
41,4,0.24898000000000003
42,4,0.1769
43,4,0.21439000000000002
44,4,0.22372999999999998
45,4,0.26061999999999996
46,4,0.15950000000000003
47,4,0.25359000000000004
48,4,0.23333000000000004
49,4,0.23153
0,5,0.33481000000000005
1,5,0.33077999999999996
2,5,0.38249
3,5,0.3246
4,5,0.32552
5,5,0.38092
6,5,0.4286600000000001
7,5,0.32694
8,5,0.22759000000000001
9,5,0.32711999999999997
10,5,0.24921000000000001
11,5,0.22879
12,5,0.22982
13,5,0.24432
14,5,0.35395
15,5,0.23126999999999995
16,5,0.26283
17,5,0.31715
18,5,0.34049
19,5,0.4427499999999999
20,5,0.33816
21,5,0.27321999999999996
22,5,0.24074999999999994
23,5,0.23443
24,5,0.50757
25,5,0.33061
26,5,0.3258
27,5,0.23476000000000002
28,5,0.35602
29,5,0.25116
30,5,0.29251
31,5,0.24134000000000003
32,5,0.23464999999999997
33,5,0.38227
34,5,0.22973
35,5,0.31001
36,5,0.23360000000000003
37,5,0.31257
38,5,0.31595
39,5,0.35875999999999997
40,5,0.31995000000000007
41,5,0.34936
42,5,0.32416999999999996
43,5,0.45464000000000004
44,5,0.3337
45,5,0.22225
46,5,0.33809
47,5,0.31817
48,5,0.3607699999999999
49,5,0.28385000000000005
0,6,0.31898
1,6,0.34622
2,6,0.36946
3,6,0.31647000000000003
4,6,0.34779
5,6,0.36349
6,6,0.26757
7,6,0.35562
8,6,0.31612
9,6,0.35655
10,6,0.43210999999999994
11,6,0.34551
