replicate,k,purity
0,1,0.11285
1,1,0.11160999999999999
2,1,0.10355
3,1,0.10847
4,1,0.10507999999999999
5,1,0.10389
6,1,0.10995000000000002
7,1,0.1085
8,1,0.1
9,1,0.10784
10,1,0.09998
11,1,0.10861999999999998
12,1,0.11182999999999998
13,1,0.09999999999999999
14,1,0.10500000000000001
15,1,0.11136000000000001
16,1,0.10002
17,1,0.10875000000000001
18,1,0.19833
19,1,0.10499
20,1,0.11811111111111113
21,1,0.10625
22,1,0.10001
23,1,0.10908999999999999
24,1,0.1
25,1,0.1
26,1,0.11773
27,1,0.10667
28,1,0.11369
29,1,0.1085
30,1,0.1
31,1,0.10457000000000001
32,1,0.1
33,1,0.1058
34,1,0.10737000000000001
35,1,0.11156000000000002
36,1,0.10539000000000001
37,1,0.10818000000000001
38,1,0.10625
39,1,0.1085
40,1,0.09999
41,1,0.10001
42,1,0.11466000000000003
43,1,0.12061000000000002
44,1,0.11439000000000002
45,1,0.10533
46,1,0.10357000000000001
47,1,0.10231000000000001
48,1,0.10389000000000001
49,1,0.1
0,2,0.10706
1,2,0.10676000000000001
2,2,0.1075
3,2,0.10623
4,2,0.11034
5,2,0.10203999999999999
6,2,0.10606
7,2,0.10557000000000001
8,2,0.10507999999999999
9,2,0.09999000000000001
10,2,0.10266
11,2,0.10606
12,2,0.10622000000000001
13,2,0.10572999999999999
14,2,0.10706000000000002
15,2,0.10464
16,2,0.11083000000000001
17,2,0.10608
18,2,0.10813000000000002
19,2,0.10601000000000001
20,2,0.10945
21,2,0.20281000000000002
22,2,0.10432999999999999
23,2,0.10559
24,2,0.10328000000000001
25,2,0.10518000000000001
26,2,0.10254
27,2,0.10000000000000002
28,2,0.10486999999999999
29,2,0.10947
30,2,0.1066
31,2,0.10292000000000001
32,2,0.10534000000000002
33,2,0.10002
34,2,0.10251000000000002
35,2,0.10882
36,2,0.10534000000000002
37,2,0.10406
38,2,0.10738999999999999
39,2,0.1
40,2,0.09999000000000001
41,2,0.10507000000000002
42,2,0.11135999999999999
43,2,0.10861000000000001
44,2,0.10773999999999999
45,2,0.10767
46,2,0.10406
47,2,0.10001
48,2,0.09999000000000001
49,2,0.11323000000000001
0,3,0.10567
1,3,0.10637
2,3,0.11002
3,3,0.11136000000000001
4,3,0.10649
5,3,0.13083
6,3,0.10303
7,3,0.10486999999999999
8,3,0.11264
9,3,0.10518000000000001
10,3,0.10486
11,3,0.10668000000000002
12,3,0.10534000000000002
13,3,0.1
14,3,0.10765
15,3,0.10711000000000001
16,3,0.10166
17,3,0.10623
18,3,0.10415
19,3,0.10559
20,3,0.09999000000000001
21,3,0.11015000000000001
22,3,0.1163
23,3,0.10822000000000001
24,3,0.10415
25,3,0.10934999999999999
26,3,0.10700000000000001
27,3,0.10554000000000001
28,3,0.11163000000000001
29,3,0.10828
30,3,0.10897000000000001
31,3,0.10667
32,3,0.1
33,3,0.12267000000000002
34,3,0.11039999999999998
35,3,0.12961
36,3,0.11256000000000002
37,3,0.10766
38,3,0.10717000000000002
39,3,0.10894
40,3,0.10230999999999998
41,3,0.1
42,3,0.10601000000000001
43,3,0.10001
44,3,0.10501
45,3,0.11084000000000001
46,3,0.10833999999999999
47,3,0.12021
48,3,0.11400000000000002
49,3,0.10462
0,4,0.10554999999999999
1,4,0.10678000000000001
2,4,0.10761000000000001
3,4,0.11185
4,4,0.11173999999999999
5,4,0.10001
6,4,0.11517
7,4,0.10635000000000001
8,4,0.12525
9,4,0.10781
10,4,0.10002000000000003
11,4,0.10935000000000002
12,4,0.11137
13,4,0.10001
14,4,0.09999
15,4,0.10751
16,4,0.1
17,4,0.1066
18,4,0.10334000000000002
19,4,0.10002
20,4,0.1
21,4,0.10001
22,4,0.10414999999999999
23,4,0.10279
24,4,0.09999000000000001
25,4,0.10723
26,4,0.10364999999999999
27,4,0.10728000000000001
28,4,0.10821
29,4,0.10786
30,4,0.10609000000000002
31,4,0.10001
32,4,0.10408999999999999
33,4,0.11022000000000001
34,4,0.10194
35,4,0.10484
36,4,0.10357000000000001
37,4,0.12027000000000002
38,4,0.20821
39,4,0.10445
40,4,0.10934999999999999
41,4,0.10001
42,4,0.10000000000000002
43,4,0.10778000000000001
44,4,0.10766
45,4,0.1
46,4,0.10001
47,4,0.11678000000000002
48,4,0.10594
49,4,0.10001
0,5,0.10636999999999999
1,5,0.10667
2,5,0.1
3,5,0.11696
4,5,0.10001
5,5,0.10002
6,5,0.10001000000000002
7,5,0.12666
8,5,0.10726
9,5,0.10000000000000002
10,5,0.1
11,5,0.1
12,5,0.10954
13,5,0.09999
14,5,0.1045
15,5,0.10447999999999999
16,5,0.10628000000000001
17,5,0.10001
18,5,0.1066
19,5,0.11323999999999998
20,5,0.11015
21,5,0.11442999999999999
22,5,0.1089
23,5,0.11698
24,5,0.1
25,5,0.10386999999999999
26,5,0.10640000000000001
27,5,0.10607
28,5,0.10889
29,5,0.10612000000000002
30,5,0.1
31,5,0.1
32,5,0.1426
33,5,0.10001
34,5,0.11239000000000002
35,5,0.20583
36,5,0.1
37,5,0.11063
38,5,0.10462
39,5,0.10388
40,5,0.10434999999999998
41,5,0.1
42,5,0.10001000000000002
43,5,0.10155
44,5,0.13427
45,5,0.09999
46,5,0.10786
47,5,0.10285
48,5,0.1
49,5,0.10552999999999998
0,6,0.12825999999999999
1,6,0.13609
2,6,0.13212000000000002
3,6,0.12734
4,6,0.10417000000000001
5,6,0.13233
6,6,0.13171000000000002
7,6,0.21326
8,6,0.10462
9,6,0.12198
10,6,0.12301999999999999
11,6,0.11725000000000001
12,6,0.10787
13,6,0.11577000000000001
14,6,0.11544000000000001
15,6,0.11527999999999998
16,6,0.12140000000000002
17,6,0.14576
18,6,0.10001
19,6,0.1109
20,6,0.10925
21,6,0.10607
22,6,0.10583000000000001
23,6,0.11001000000000001
24,6,0.15251
25,6,0.11102000000000001
26,6,0.10956999999999999
27,6,0.11152
28,6,0.11094000000000001
29,6,0.12754
30,6,0.11086999999999998
31,6,0.1105
32,6,0.13334000000000001
33,6,0.20456
34,6,0.10735999999999998
35,6,0.11906999999999998
36,6,0.12884
37,6,0.12335
38,6,0.10625
39,6,0.11821999999999999
40,6,0.10762000000000001
41,6,0.11239000000000002
