replicate,k,purity
0,1,0.16846
1,1,0.15399000000000002
2,1,0.14694999999999997
3,1,0.14686000000000005
4,1,0.16624
5,1,0.15899
6,1,0.16231
7,1,0.1655
8,1,0.15838000000000002
9,1,0.16588
10,1,0.16615
11,1,0.13655
12,1,0.17675
13,1,0.16343
14,1,0.13974
15,1,0.16754
16,1,0.18569000000000002
17,1,0.23205000000000003
18,1,0.17136999999999997
19,1,0.15680999999999998
20,1,0.12798
21,1,0.17302999999999996
22,1,0.25527
23,1,0.16814
24,1,0.20126
25,1,0.14964
26,1,0.1627
27,1,0.16411000000000003
28,1,0.16693000000000002
29,1,0.18411
30,1,0.17114000000000001
31,1,0.15950999999999999
32,1,0.16177000000000002
33,1,0.16219999999999998
34,1,0.16333
35,1,0.16643
36,1,0.17315999999999998
37,1,0.15703
38,1,0.17762000000000003
39,1,0.14965
40,1,0.17365
41,1,0.14992
42,1,0.19253
43,1,0.13979
44,1,0.26871
45,1,0.16267
46,1,0.19252999999999998
47,1,0.17613
48,1,0.16223
49,1,0.16677
0,2,0.14864
1,2,0.15741999999999998
2,2,0.23466
3,2,0.21911999999999998
4,2,0.19773999999999997
5,2,0.11921
6,2,0.14159000000000002
7,2,0.16991
8,2,0.19566
9,2,0.14001
10,2,0.15124999999999997
11,2,0.14479999999999998
12,2,0.16455999999999998
13,2,0.19348
14,2,0.15850999999999998
15,2,0.20894000000000004
16,2,0.21787
17,2,0.11541000000000001
18,2,0.22347999999999998
19,2,0.14796
20,2,0.23468
21,2,0.20639000000000002
22,2,0.33358
23,2,0.1152
24,2,0.13496999999999998
25,2,0.19790999999999997
26,2,0.20321000000000003
27,2,0.17139
28,2,0.17392000000000002
29,2,0.24042
30,2,0.11957999999999999
31,2,0.17684000000000002
32,2,0.21585000000000001
33,2,0.11486
34,2,0.14298
35,2,0.14533000000000001
36,2,0.13352
37,2,0.14354999999999998
38,2,0.14613
39,2,0.20786
40,2,0.1851
41,2,0.16506
42,2,0.12035
43,2,0.16232000000000002
44,2,0.16044
45,2,0.11943
46,2,0.12492
47,2,0.13338
48,2,0.23211000000000004
49,2,0.15306999999999998
0,3,0.19107000000000002
1,3,0.15736
2,3,0.13959
3,3,0.16434
4,3,0.15567999999999999
5,3,0.24283000000000002
6,3,0.13252000000000003
7,3,0.18729999999999997
8,3,0.15389000000000003
9,3,0.15137
10,3,0.14378
11,3,0.15738
12,3,0.21322000000000002
13,3,0.16247
14,3,0.12974000000000002
15,3,0.18682
16,3,0.11696
17,3,0.21979
18,3,0.18202999999999997
19,3,0.13065
20,3,0.22430000000000003
21,3,0.11993999999999998
22,3,0.21182999999999996
23,3,0.25257000000000007
24,3,0.16358
25,3,0.21005000000000001
26,3,0.19048
27,3,0.15622000000000003
28,3,0.13866
29,3,0.15111
30,3,0.13702
31,3,0.16619999999999996
32,3,0.12114999999999998
33,3,0.22453000000000004
34,3,0.19165000000000001
35,3,0.14031
36,3,0.16258999999999998
37,3,0.26254000000000005
38,3,0.14859
39,3,0.13393
40,3,0.16512
41,3,0.17911
42,3,0.17975
43,3,0.1329
44,3,0.17616
45,3,0.11840999999999999
46,3,0.12517
47,3,0.14171
48,3,0.12999999999999998
49,3,0.16659
0,4,0.24056000000000002
1,4,0.13862999999999998
2,4,0.1591
3,4,0.16834999999999997
4,4,0.20787999999999998
5,4,0.18003
6,4,0.14789999999999998
7,4,0.14517000000000002
8,4,0.16038
9,4,0.1653
10,4,0.18947
11,4,0.16688
12,4,0.11664999999999999
13,4,0.21971000000000002
14,4,0.16695
15,4,0.22006
16,4,0.15166
17,4,0.22207
18,4,0.16101
19,4,0.27009
20,4,0.1658
21,4,0.15613000000000002
