replicate,k,purity
0,1,0.1075
1,1,0.10402
2,1,0.11046
3,1,0.09997
4,1,0.10816999999999999
5,1,0.10532
6,1,0.10369999999999999
7,1,0.10205
8,1,0.10853000000000002
9,1,0.10603
10,1,0.11100999999999998
11,1,0.10376
12,1,0.10884
13,1,0.09996999999999999
14,1,0.10341
15,1,0.10737
16,1,0.09999
17,1,0.1142
18,1,0.10259
19,1,0.09999
20,1,0.10808999999999999
21,1,0.10519
22,1,0.10313000000000001
23,1,0.09999
24,1,0.10444
25,1,0.09997999999999999
26,1,0.09998
27,1,0.09997
28,1,0.10800999999999998
29,1,0.10979999999999998
30,1,0.09999
31,1,0.11553
32,1,0.10295999999999998
33,1,0.10204000000000002
34,1,0.09998
35,1,0.1034
36,1,0.11002
37,1,0.10607
38,1,0.12517
39,1,0.21288
40,1,0.1166
41,1,0.09997999999999999
42,1,0.10752999999999999
43,1,0.10519
44,1,0.09998
45,1,0.10839000000000001
46,1,0.10666
47,1,0.10749000000000002
48,1,0.09999
49,1,0.10629
0,2,0.11259999999999999
1,2,0.20113000000000003
2,2,0.1095
3,2,0.20648
4,2,0.11061000000000001
5,2,0.11751
6,2,0.11707999999999999
7,2,0.11452999999999999
8,2,0.11423000000000001
9,2,0.10865
10,2,0.10842
11,2,0.10880999999999999
12,2,0.10519
13,2,0.09998
14,2,0.10894999999999999
15,2,0.11005000000000001
16,2,0.11947999999999999
17,2,0.1089
18,2,0.11889000000000001
19,2,0.10594
20,2,0.10715999999999999
21,2,0.11568999999999999
22,2,0.10841
23,2,0.10668
24,2,0.11755
25,2,0.10867
26,2,0.11155999999999999
27,2,0.10593999999999999
28,2,0.10654
29,2,0.10669999999999999
30,2,0.09997
31,2,0.11481000000000001
32,2,0.11163999999999999
33,2,0.10888999999999997
34,2,0.20581
35,2,0.12034
36,2,0.11106
37,2,0.09999
38,2,0.09997
39,2,0.10800000000000001
40,2,0.10866
41,2,0.11101000000000001
42,2,0.10907
43,2,0.11912
44,2,0.11869999999999999
45,2,0.12066999999999999
46,2,0.11108
47,2,0.10948
48,2,0.11886999999999999
49,2,0.12701
0,3,0.10818000000000001
1,3,0.11422999999999998
2,3,0.10981
3,3,0.10621
4,3,0.1075
5,3,0.10368999999999999
6,3,0.10562
7,3,0.19829
8,3,0.11195999999999999
