replicate,k,purity
0,1,0.14941
1,1,0.17312999999999998
2,1,0.20779
3,1,0.17198999999999998
4,1,0.17165000000000002
5,1,0.13035000000000002
6,1,0.16594
7,1,0.1551
8,1,0.13011999999999999
9,1,0.16255999999999998
10,1,0.18506
11,1,0.13454000000000002
12,1,0.16948
13,1,0.17042000000000002
14,1,0.17458
15,1,0.11623999999999998
16,1,0.1756
17,1,0.16755
18,1,0.24128999999999995
19,1,0.266
20,1,0.1643
21,1,0.15118
22,1,0.15597
23,1,0.16213999999999998
24,1,0.17444
25,1,0.14381
26,1,0.14979
27,1,0.16741999999999999
28,1,0.16752
29,1,0.18320999999999998
30,1,0.14697
31,1,0.18331999999999998
32,1,0.15504
33,1,0.15848
34,1,0.17134
35,1,0.17105
36,1,0.17425000000000002
37,1,0.16408999999999999
38,1,0.13241999999999998
39,1,0.15614
40,1,0.13666999999999999
41,1,0.15301
42,1,0.16726
43,1,0.17107999999999998
44,1,0.1466
45,1,0.16954
46,1,0.17464
47,1,0.17364
48,1,0.18776
49,1,0.15214
0,2,0.16541
1,2,0.14162999999999998
2,2,0.17265
3,2,0.15266
4,2,0.17948999999999998
5,2,0.17370999999999998
6,2,0.13654
7,2,0.15943
8,2,0.16637000000000002
9,2,0.15997999999999998
10,2,0.16208999999999998
11,2,0.15173
12,2,0.19515
13,2,0.14275
14,2,0.16297999999999999
15,2,0.17102
16,2,0.21126
17,2,0.1674
18,2,0.15438000000000002
19,2,0.14441
20,2,0.26288
21,2,0.14926
22,2,0.16703
23,2,0.16007
24,2,0.15943000000000002
25,2,0.16141
26,2,0.17397
27,2,0.15338
28,2,0.14833999999999997
29,2,0.18413999999999997
30,2,0.16599
31,2,0.17831999999999998
32,2,0.15156999999999998
33,2,0.14600000000000002
34,2,0.15330999999999997
35,2,0.17918000000000003
36,2,0.15184999999999998
37,2,0.14553
38,2,0.14989000000000002
39,2,0.14745999999999998
40,2,0.14292
41,2,0.15869
42,2,0.14717
43,2,0.15997
44,2,0.16274
45,2,0.15971999999999997
46,2,0.15496000000000001
47,2,0.15960999999999997
48,2,0.16553
49,2,0.15072999999999998
0,3,0.16299999999999998
1,3,0.15283
2,3,0.15450999999999998
3,3,0.12361
4,3,0.15999000000000002
5,3,0.18764999999999998
6,3,0.16890999999999995
7,3,0.17437
8,3,0.15275999999999998
9,3,0.25991
10,3,0.16711
11,3,0.16812999999999997
12,3,0.15221
13,3,0.15025
14,3,0.2542
15,3,0.17372
16,3,0.15011000000000002
17,3,0.16046999999999997
18,3,0.16157
19,3,0.15588
20,3,0.22094999999999998
21,3,0.15909
22,3,0.16893
