Run,Library Name,Virus,HPI,ENSG00000251705,ENSG00000198938,ENSG00000198712,ENSG00000081051,ENSG00000198804,ENSG00000163631,ENSG00000177954,ENSG00000228253,ENSG00000133316,ENSG00000158874,ENSG00000197943,ENSG00000156508,ENSG00000087086,ENSG00000212907,ENSG00000198840,ENSG00000249072,ENSG00000091513,ENSG00000171564,ENSG00000198899,ENSG00000120885,ENSG00000196262,ENSG00000270276,ENSG00000229117,ENSG00000288859,ENSG00000115414,ENSG00000075624,ENSG00000111640,ENSG00000106927,ENSG00000197756,ENSG00000112306,ENSG00000174444,ENSG00000130208,ENSG00000109971,ENSG00000197249,ENSG00000089009,ENSG00000197061,ENSG00000273542,ENSG00000203811,ENSG00000291931,ENSG00000105372,ENSG00000278705,ENSG00000167996,ENSG00000144649,ENSG00000156482,ENSG00000181163,ENSG00000276966,ENSG00000225840,ENSG00000135486,ENSG00000198886,ENSG00000130203,ENSG00000123416,ENSG00000156976,ENSG00000089157,ENSG00000171858,ENSG00000168028,ENSG00000177600,ENSG00000175899,ENSG00000176155,ENSG00000197903,ENSG00000142937,ENSG00000286522,ENSG00000161011,ENSG00000166598,ENSG00000278229,ENSG00000136942,ENSG00000144713,ENSG00000197958,ENSG00000171560,ENSG00000134294,ENSG00000223367,ENSG00000291544,ENSG00000142534,ENSG00000167658,ENSG00000145592,ENSG00000227097,ENSG00000149273,ENSG00000150394,ENSG00000283777,ENSG00000198918,ENSG00000203814,ENSG00000169045,ENSG00000169020,ENSG00000227794,ENSG00000174748,ENSG00000147604,ENSG00000167526,ENSG00000184260,ENSG00000122026,ENSG00000034510,ENSG00000181019,ENSG00000065978,ENSG00000197746,ENSG00000084207,ENSG00000008988,ENSG00000135404,ENSG00000138326,ENSG00000170421,ENSG00000287080,ENSG00000069869,ENSG00000092841
SRR27926886,SFSV121,SFSV,12.0,6506.611569,9411.879507,5437.181548,9145.998817,5348.894888,15507.732379,6017.454085,7009.859495,1777.297327,11976.520653,2239.104214,4954.46551,6201.433381,2323.212553,4891.942301,646.839237,2981.99764,3896.654568,1757.335235,2422.520904,2941.65522,4572.035346,6823.7382210000005,4097.968805,1673.947121,2085.207149,2069.6885,1665.91716,2696.286893,2269.675235,2576.339367,2171.973256,1822.68865,1567.799811,1875.807479,1321.401754,1801.041174,2004.449138,2512.802203,1769.558668,1980.833575,1097.81327,405.949148,1441.36684,2117.928191,1320.812106,31.233277,2568.122094,442.965419,1267.968222,1301.177344,775.38043,2268.1106640000003,1738.470188,1738.652879,1464.443413,1571.066278,208.910698,1663.572261,1400.938339,1620.109434,590.626351,1134.28693,1657.583794,1484.240118,1856.997332,1507.063432,1499.17889,1065.89595,1536.018455,851.657778,1763.505722,2126.089773,1933.2615,1670.919392,1751.449459,223.339217,1392.124711,1310.0729130000002,1637.546463,1391.088004,1409.4820989999998,1518.504657,1530.414705,1211.38086,1740.198957,1066.33713,1382.325641,1495.093689,641.1227739999999,1162.547027,448.691802,829.198296,1858.544834,786.818461,1166.427984,689.739059,1377.528275,437.99988700000006,1142.036639
SRR27926887,RVFVBPL2,Mock,,4851.256129,6611.529435,3547.533096,20580.066143,3745.912001,19096.537479,5457.907208999999,4283.27327,1799.6375340000002,15765.992167,982.766159,8191.894029999999,5614.933099,1661.15733,3725.710591,374.277548,5923.692762,3991.257056,1211.772168,2496.385967,4998.580339,4264.035521,6608.081614000001,2703.602715,1592.019019,3156.428866,3095.005834,2185.981333,3397.94157,2467.075686,3039.081113,3064.76448,2498.168349,1687.701785,2618.3657190000004,1444.639663,1461.779858,2608.352675,2157.091889,2125.009215,1336.945654,1834.78773,264.740547,1445.944068,2360.011795,1514.946405,24.668739,2941.146218,339.504481,1385.325202,1990.143621,600.094376,2153.002837,2118.051743,1558.588282,1686.102842,2146.5984240000003,133.998357,1981.106302,1627.188376,2030.23967,689.859665,1426.230181,1469.462188,1890.781686,1926.045863,1393.278669,1557.852894,791.561797,1837.546405,1651.599196,2012.889412,1884.380422,2322.664326,1995.456146,2096.774569,199.106259,1593.745296,1784.302902,1561.880968,1404.324273,1653.986894,1467.535872,1706.009904,1612.722223,1713.044365,687.068829,1432.339809,2196.836058,1148.215129,855.869985,782.879414,1244.125641,1673.556947,717.826663,1692.306128,1221.756922,1256.70192,299.321777,1669.181723
SRR27926888,RVFVBPL1,Mock,,3228.202973,4720.100267,2773.95104,15640.211993,2574.961571,15973.283286,6634.523718,3764.221372,2721.525985,20755.336834,1711.334582,8270.881141,6689.422916,1113.050819,2750.310216,265.122661,4983.743536,3419.931848,936.355831,2402.365559,6035.929438,4648.491196,7122.599375,3289.644777,1151.749852,3397.092131,3613.525256,1966.466555,3612.942049,2730.233313,3384.6093610000003,3107.857665,2175.336161,1581.78631,3271.982161,2055.80238,2315.979604,2871.071648,2642.266462,2280.97816,1587.915377,1873.021876,201.621447,1645.518803,2695.586844,1920.447713,20.341567,3574.605257,223.947074,1254.104935,2326.494299,452.329228,2546.163726,2044.134509,1666.86828,1789.9449819999998,1491.883558,115.646303,2448.277635,1819.2102970000003,2472.598807,641.65362,1050.606522,2095.750342,2415.786477,2319.01371,1613.759175,1211.088318,652.926921,1970.23737,961.791816,2338.08996,2164.270103,2440.225486,2089.803124,2397.603617,142.188675,1287.493323,1779.954092,1930.030568,1020.683337,1876.952713,1581.542863,2092.407117,1846.386712,1967.241445,839.043125,1611.442864,2523.214397,1194.300025,1041.154633,587.947259,1392.703247,1854.469416,829.786117,1939.094496,1237.083042,1600.698524,205.57791000000003,1881.818039
SRR27926891,RVFV32,RVFV,24.0,2411.836294,4875.034301,2689.929284,17494.086905,2771.584541,16434.144092,6110.557744999999,3224.222254,2679.014614,14500.992474,789.573034,7715.043957999999,6707.017905,1313.510149,2780.480964,162.597196,4993.452253,5032.150555,845.951529,2475.276343,5248.415123,4621.674798,6417.243763,3068.045092,1496.143183,4666.634342,3436.325666,2351.929966,3936.903882,3038.874861,3157.699479,3318.472845,2006.403651,1581.53152,3012.9668,1113.952482,1499.966668,2461.926693,2473.54923,2449.076227,1239.659145,2226.725087,185.661155,1700.547716,2571.204776,1288.493327,28.848833,3392.408315,252.911927,1545.957388,2332.066444,332.201821,2415.597136,2158.423855,1587.393318,1884.490825,1527.27666,102.319842,2181.837471,1787.117949,2055.139442,963.17654,1135.24123,1810.200829,2249.28661,2206.377806,1494.2138670000002,1142.740166,589.392261,2024.748771,1110.274571,2258.408302,1909.002764,2594.737127,2113.560614,2013.670752,128.38044100000002,1486.156745,1801.044593,1512.236377,1168.087654,1751.914239,1597.172312,1885.677868,1877.534718,2053.495582,744.961187,1625.34125,2453.759904,1291.836703,985.085298,679.6498650000001,1598.682018,2012.544862,807.502832,1785.4711080000002,1914.38026,1424.899908,253.032558,2258.732883
SRR27926893,RVFV122,RVFV,12.0,10816.208977,14091.306039,8293.643809,11334.15376,8420.278737,12275.073022,7235.190721000001,10200.683153,2016.90302,8737.096479,4512.3581,4176.022586,8339.026538,3714.460777,7210.735338,637.507617,4255.3614,3797.688189,2862.440207,3761.67484,3039.70264,1309.663705,3999.713037,650.073579,1715.718548,3122.131104,2379.499513,2136.1449780000003,3505.3986660000005,2971.9208280000003,2599.26086,2841.403041,973.612775,1292.767856,1757.444609,616.079489,787.165965,379.167545,3228.331267,2452.302531,429.594444,826.2968269999999,212.301759,2131.599764,2724.59177,347.421672,61.753224,3967.295279,804.567616,1734.611731,1770.300571,583.677928,1865.652668,1329.566672,2733.3412470000003,2046.431268,1556.846843,119.081413,647.043301,1600.753857,943.429543,774.449908,1158.933606,2547.979387,2028.116605,1854.567321,2351.49312,469.151061,967.053447,2026.720278,718.8182370000001,1726.72937,1845.226812,2436.349133,1823.577868,1560.150721,172.993906,1693.628521,1333.623304,609.7096650000001,476.884214,1721.948512,1357.964514,2133.92095,1066.5418089999998,1518.5927909999998,206.768672,2229.316571,769.991805,772.246023,2010.079777,397.307143,862.732969,2236.514238,687.511291,1132.508595,984.884645,406.218374,393.562576,1646.989994
SRR27926894,RVFV121,RVFV,12.0,6322.440685,13207.897938,7705.409505,11583.45682,7443.735456,12901.57712,7461.154007999999,8494.206097,4291.954322,10980.694182,3282.9846700000003,4260.038737000001,8573.911293,3418.177998,7109.059811,1023.458122,4682.462283,4186.186599000001,2289.420077,4140.011801,3222.935475,1175.6662769999998,4238.28383,561.360114,1793.862292,3079.937597,2358.175617,2165.65237,3339.908302,2683.3621460000004,2741.03424,2619.049293,1052.904198,1296.356311,1828.583513,589.936727,681.983839,266.569244,3142.705984,2139.534527,354.521493,705.654232,213.487829,2188.483284,2875.386869,336.208621,76.29553,3977.877631,695.185223,1476.7500099999995,1756.125489,622.791354,1944.457703,1162.279679,2622.5710970000005,1897.950538,1620.72468,143.141823,653.425523,1566.863424,802.875257,627.2220639999999,1234.325063,2699.503836,2190.089858,2051.157641,2346.100171,535.661184,1045.485299,2007.255786,866.1476660000001,1831.727495,2149.910576,2348.666306,1844.859598,1580.322563,152.187642,1695.632073,1296.520007,566.95257,467.713286,1809.312313,1261.634606,2210.835288,1113.5268660000002,1424.065591,184.134033,2353.4855350000003,771.522522,782.683841,2072.606866,421.56413,819.1331060000001,2205.0823840000003,801.614201,1148.7559,1007.878394,371.681254,398.889388,1683.14615
SRR27926895,EBOVBPL2,Mock,,5289.300041,8151.710931,4500.299997,22262.993739,4159.861602,20491.536525,5560.176485,3507.267849,3272.359567,15174.584883,2045.701446,8352.294222999999,4675.433644,1468.996954,3327.39179,427.245054,5687.04545,3366.756207,1004.228438,2827.47335,4026.785505,3502.274976,5994.548285,2260.228116,2013.487773,2479.58097,2503.436659,2716.711409,3554.927837,2337.177831,3200.715776,3053.693901,2464.024837,1487.241648,2589.764056,1201.916152,1516.396076,2155.64935,1973.423989,2109.295142,1129.250532,2010.307446,313.356639,1561.270518,2125.689783,1287.630203,23.203671,2647.039188,275.736285,1923.087741,1452.541693,636.676724,2118.539799,2034.062769,1344.781986,1664.260372,2388.63918,158.485149,1501.806511,1659.4806590000003,1635.369972,961.876016,1211.171145,1642.078816,1732.5886810000002,1901.084933,1392.250886,1299.385224,986.033847,1939.165643,1417.776293,1784.274147,2031.800012,2408.37015,1726.602156,2174.591598,174.512293,1695.641658,1535.884685,1293.13149,1720.835474,1418.390526,1641.583218,1655.344926,1598.170388,1742.00779,595.009773,1323.998587,1868.181086,1342.665092,622.110977,1012.819721,1282.508369,1531.25365,1106.257482,1635.509236,949.010466,1098.180869,322.452997,1354.33722
SRR27926896,RVFV241,RVFV,24.0,8851.221948,11462.387741,10912.80768,7697.86731,10884.744073,11158.298604,7808.812083,7147.891834,2629.014409,7820.664565999999,7246.961582999999,3057.671607,8416.769021,3315.717673,5753.968533,1857.596223,2844.833963,2898.062151,2316.453587,4763.396443,2373.938328,566.850742,4231.56647,341.013258,1407.173641,2435.429218,1956.9736390000005,1669.294261,3133.046256,2345.291765,2425.528766,2608.549042,724.1874290000001,961.396959,1734.3193689999998,307.596277,366.365357,117.091559,3486.764912,1926.388045,180.76195,820.578486,246.025242,2651.437202,2731.331341,192.478006,77.106989,4229.244971,1025.4705,1253.053834,1301.346905,983.308265,1632.862057,1016.749759,3188.408963,1801.147707,1620.191891,203.696497,451.464816,1413.606793,495.604103,900.912838,926.182945,3276.317699,1980.560259,1922.650072,2536.779456,269.469462,1510.248273,1926.137578,556.87523,1691.534263,2556.410404,2301.21442,1689.017082,1369.993272,155.410935,1419.327468,1085.554689,297.249585,611.388416,1976.927392,1200.838512,2272.504375,864.156242,1197.194257,127.445539,2824.354191,429.036741,582.901167,2377.305088,316.101816,653.949446,2096.589965,746.956248,949.901752,1032.105115,159.402097,463.524085,1676.653722
SRR27926897,RSVBPL2,Mock,,2652.653087,11576.165745,5948.113556,26185.049136,5691.855199,23854.751966,4817.8454520000005,6190.727204,3281.696297,14542.6514,1564.595917,6238.510996,3791.018635,2069.990318,5671.04885,492.484896,7161.777687,5686.1368,1830.408697,3654.509453,3708.086697,3029.54809,5653.08356,2073.895786,1979.386771,2597.876107,2479.15133,2620.559804,2999.961269,1958.969622,2477.348246,2765.402979,2370.413871,2023.923352,2238.9687980000003,858.121096,1315.054676,1811.519842,1704.016457,1661.564024,936.834893,1096.097582,379.676695,1331.714807,2021.482117,1248.709749,24.49999,2481.873533,434.462407,1724.695503,1453.91453,729.490908,1649.116349,1828.696957,1183.5695,1302.78268,2429.625512,227.583467,1562.017417,1240.575307,1379.583938,558.5887640000001,1734.808797,1304.568937,1530.4939969999998,1611.132428,1050.123982,1882.428317,1025.174696,1498.2415050000002,1597.760256,1617.56801,1794.521859,2085.906101,1530.080717,1690.21444,255.121934,2044.123141,1200.510606,1095.70786,2183.200879,1513.999634,1456.65638,1399.124809,1322.578188,1102.37103,513.417874,1122.991117,1860.143377,887.872506,592.520054,1010.700052,1137.243243,1388.349524,985.914221,1341.79894,1122.481406,1111.129775,403.733951,1407.111138
SRR27926898,RSVBPL1,Mock,,4862.349639,10696.940464,5459.634025,25350.577931,5625.879757,25730.870691,4976.14224,6530.532128,4491.8044230000005,18740.333977,1771.145165,6029.157033,4095.443023,2129.654221,5464.605127,744.99505,7175.852931,5519.495395,1799.415899,3714.606387,3964.880696,3520.969025,6279.908974,2256.842824,1959.44053,2618.464862,2452.434832,2687.544778,3009.618882,1841.57758,2584.672777,2795.547555,2218.533693,2254.661256,2176.5377200000003,989.256943,1601.455494,2150.706714,1813.232073,1737.530026,1020.029471,1692.028907,316.278904,1356.883497,1962.429985,1302.494206,28.221826,2461.051364,420.523733,2010.76617,1541.912473,632.989404,1796.772365,1877.331055,1156.706099,1383.208262,2648.022904,146.855525,1661.555228,1305.401226,1541.514345,735.060694,1795.4447159999995,1395.569106,1636.9747450000002,1736.596591,1095.958406,1768.169943,1035.26506,1473.7763590000002,1614.3521010000002,1705.298846,2233.334814,2044.352317,1414.753081,1866.956493,225.556641,2387.406272,1347.327731,1226.894541,1642.616958,1479.5454679999998,1779.0092579999998,1442.179687,1300.726447,1373.494444,651.220013,1088.765806,1948.539694,822.637727,683.867077,1033.836057,1146.83585,1346.760472,1259.515216,1476.654819,1042.245823,1182.683971,324.756819,1337.471031
