k,n_features,time_kmer,time_hclust,time_rf
1,4,39.905489921569824,40.010456800460815,1.06939697265625
2,16,47.23669505119324,47.336264848709106,1.0649757385253906
3,64,50.293219566345215,50.44770812988281,1.1212172508239746
4,256,53.60296154022217,53.97638249397278,1.242605447769165
5,1024,57.17605495452881,58.45432901382446,1.49959135055542
6,4096,59.581483125686646,64.55956149101257,2.019469738006592
7,16384,63.88459324836731,83.62389516830444,3.054691791534424
8,65536,68.77494311332703,143.73035287857056,5.13343358039856
9,262120,76.08971214294434,299.92669677734375,7.88916540145874
10,1037135,85.92348027229309,620.2089488506317,10.771094560623169
11,3698292,91.91757869720459,982.3845825195312,15.815052270889282
12,10206046,95.65605425834656,1518.6574988365173,32.34780406951904
13,19081566,97.88877034187317,2164.7497239112854,44.363919258117676
14,25252054,103.15451884269714,2628.8966252803802,55.195640563964844
15,28028553,105.80799436569214,2980.167838573456,60.7185959815979
