k,n_features,time_kmer,time_hclust,time_rf
1,4,41.80205965042114,41.899081230163574,1.0790026187896729
2,16,47.53845191001892,47.63897490501404,1.084242820739746
3,64,50.490071058273315,50.64692187309265,1.1466615200042725
4,256,53.069395780563354,53.45287847518921,1.274294137954712
5,1024,57.22150993347168,58.51519417762756,1.5266010761260986
6,4096,65.04935145378113,70.00700950622559,2.0724921226501465
7,16384,76.90813064575195,96.5106041431427,3.180987596511841
8,65536,85.89488697052002,161.16189908981323,5.271474361419678
9,262120,95.68215560913086,324.5496714115143,8.059003591537476
10,1037135,103.2349534034729,651.4425036907196,10.99684739112854
11,3698292,105.57751965522766,1020.0480840206146,16.459864616394043
12,10206046,108.77189230918884,1586.899997472763,30.09806180000305
13,19081566,112.71579360961914,2236.43901181221,45.32669639587402
14,25252054,122.4154200553894,2729.493152618408,57.268736600875854
15,28028553,121.04791283607483,2933.9744925498962,61.46583652496338
