k,n_features,time_kmer,time_hclust,time_rf
1,4,54.587292432785034,54.67373561859131,1.0464708805084229
2,16,63.97042226791382,64.06766843795776,1.0774366855621338
3,64,68.79349160194397,68.94837856292725,1.1258978843688965
4,256,73.02439785003662,73.40507936477661,1.241379976272583
5,1024,78.61956906318665,79.95513820648193,1.4701437950134277
6,4096,83.080495595932,88.15322542190552,1.9523470401763916
7,16384,86.92986178398132,107.10592269897461,3.315349817276001
8,65536,94.8510513305664,171.60156846046448,5.791097164154053
9,262131,106.26890683174133,338.51513481140137,7.702758073806763
10,1038852,114.9019296169281,667.9500679969788,10.026152610778809
11,3730521,123.30527663230896,1059.2088613510132,14.817643880844116
12,10394924,130.21997618675232,1651.6209609508514,26.82812809944153
13,19660448,130.36101174354553,2352.147476911545,41.380115270614624
14,26233085,135.9814157485962,2915.00993680954,52.94136691093445
15,29249400,143.62793016433716,3100.10272359848,56.28987002372742
