k,n_features,time_kmer,time_hclust,time_rf
1,4,54.08769631385803,54.17460107803345,1.0575807094573975
2,16,66.02990698814392,66.13125991821289,1.1023240089416504
3,64,70.29998755455017,70.45744967460632,1.1664519309997559
4,256,75.03236508369446,75.42161297798157,1.2938494682312012
5,1024,78.90939545631409,80.23171925544739,1.5508439540863037
6,4096,91.44896221160889,96.54293584823608,2.103264570236206
7,16384,105.5533459186554,125.55005121231079,3.5519838333129883
8,65536,117.27401733398438,195.92014122009277,6.262033939361572
9,262131,129.83356380462646,382.0103716850281,8.68389105796814
10,1038852,138.69313144683838,770.1877372264862,12.103833436965942
11,3730521,145.1747648715973,1197.1168141365051,17.499455213546753
12,10394924,151.4784426689148,1777.813208580017,29.95014500617981
13,19660448,156.6674928665161,2499.6661920547485,47.405791997909546
14,26233085,159.06701946258545,3103.9346013069153,58.33726525306702
15,29249400,164.39066004753113,3305.445980787277,64.24419808387756
