k,n_features,time_kmer,time_hclust,time_rf
1,4,47.44427418708801,47.52522659301758,1.0349969863891602
2,16,55.35941290855408,55.455461740493774,1.0675032138824463
3,64,59.596590518951416,59.749409198760986,1.1248729228973389
4,256,63.328325033187866,63.70706486701965,1.2259767055511475
5,1024,67.47946429252625,68.7700674533844,1.4571261405944824
6,4096,71.07583475112915,76.03556704521179,1.9369595050811768
7,16384,74.04529762268066,93.61100435256958,3.2806808948516846
8,65536,81.28202676773071,157.01867938041687,5.327738285064697
9,262131,90.22429609298706,320.92470812797546,7.610786199569702
10,1038675,100.17277121543884,649.9704780578613,10.09417986869812
11,3726535,107.7360167503357,1026.4467794895172,14.464555263519287
12,10365656,112.23942685127258,1557.316597700119,25.62907576560974
13,19560485,118.12111759185791,2354.9452118873596,41.663076400756836
14,26061217,118.14399528503418,2790.2304916381836,51.33600640296936
15,29038617,120.35843849182129,2994.2177488803864,55.823232889175415
