k,n_features,time_kmer,time_hclust,time_rf
1,4,47.07393288612366,47.15927696228027,1.046703815460205
2,16,56.03826546669006,56.13656663894653,1.0871403217315674
3,64,59.843881130218506,59.99927496910095,1.1420061588287354
4,256,63.42172956466675,63.807459592819214,1.2723605632781982
5,1024,68.96258592605591,70.26776051521301,1.526902437210083
6,4096,78.48713397979736,83.48296451568604,2.0597598552703857
7,16384,91.23635840415955,110.9707133769989,3.4542956352233887
8,65536,102.44691300392151,178.77746844291687,6.023264646530151
9,262131,112.6012830734253,352.57827281951904,8.43591570854187
10,1038675,121.62483429908752,721.4837613105774,11.555488109588623
11,3726535,126.28548884391785,1124.7897353172302,16.679698944091797
12,10365656,129.0377631187439,1664.8448691368103,29.5257887840271
13,19560485,132.56677508354187,2356.4647459983826,46.349568367004395
14,26061217,139.52716898918152,2885.7729983329773,58.350149393081665
15,29038617,142.38779735565186,3077.334579229355,62.64534950256348
