k,n_features,time_kmer,time_hclust,time_rf
1,4,47.01624536514282,47.09912824630737,1.0419116020202637
2,16,55.24018692970276,55.33714246749878,1.0798916816711426
3,64,58.84309244155884,58.993746519088745,1.1316957473754883
4,256,63.007468461990356,63.38648056983948,1.245856523513794
5,1024,66.9018349647522,68.19074440002441,1.4740471839904785
6,4096,69.45938873291016,74.38314819335938,2.000485897064209
7,16384,75.19144058227539,94.75556492805481,3.3623154163360596
8,65536,80.14964771270752,158.90810656547546,6.098763465881348
9,262144,91.69201850891113,390.3895766735077,12.592908382415771
10,1048576,107.36850595474243,891.3751566410065,19.34567928314209
11,4194303,115.76433372497559,1423.0814757347107,19.771937131881714
12,16447723,120.45741319656372,2307.4922156333923,41.9781174659729
13,43131731,125.65295028686523,4541.062287330627,94.16652464866638
14,62096210,132.2691934108734,5897.640455245972,178.4165904521942
15,68592359,133.78253483772278,6971.045514822006,215.3529646396637
