fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
1,0.2285714285714286,0.1824561403508772,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1
2,0.14035087719298245,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1
3,0.19649122807017544,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1
4,0.2296296296296296,0.2037037037037037,0.2777777777777778,0.2777777777777778,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,0.3333333333333333,0.25,0.5,1
1,0.4320802005012532,0.46315789473684205,0.47368421052631576,0.47368421052631576,0.6666666666666666,1.0,0.5,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,2
2,0.6140350877192983,0.6491228070175438,0.631578947368421,0.631578947368421,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.4,0.3333333333333333,0.5,2
3,0.2701754385964912,0.24561403508771926,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,2
4,0.4148148148148148,0.39814814814814814,0.4444444444444444,0.4444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,2
1,0.3929824561403509,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.4,0.3333333333333333,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,3
2,0.5649122807017545,0.6315789473684209,0.5789473684210527,0.5789473684210527,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,3
