fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
1,0.3007518796992481,0.32631578947368417,0.3684210526315789,0.3684210526315789,0.6666666666666666,1.0,0.5,0.2857142857142857,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.5,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,1
2,0.3228070175438596,0.37719298245614036,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.25,0.5,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1
3,0.2285714285714286,0.1824561403508772,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,1
4,0.2037037037037037,0.19444444444444445,0.2222222222222222,0.2222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.42105263157894735,0.38596491228070173,0.47368421052631576,0.47368421052631576,0.4,0.3333333333333333,0.5,0.8,0.6666666666666666,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,0.4982456140350877,0.5438596491228069,0.5263157894736842,0.5263157894736842,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,2
3,0.6280701754385964,0.5964912280701755,0.6842105263157895,0.6842105263157895,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,2
4,0.537037037037037,0.5833333333333334,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,2
1,0.6666666666666667,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,3
2,0.5263157894736842,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,3
3,0.6335839598997494,0.6877192982456141,0.631578947368421,0.631578947368421,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,3
4,0.7296296296296296,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
1,0.6596491228070175,0.6666666666666666,0.6842105263157895,0.6842105263157895,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,4
2,0.5859649122807018,0.6666666666666666,0.5789473684210527,0.5789473684210527,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,4
3,0.6947368421052631,0.6666666666666666,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,4
4,0.7740740740740741,0.7407407407407407,0.8333333333333334,0.8333333333333334,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4
1,0.6877192982456141,0.7631578947368421,0.6842105263157895,0.6842105263157895,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,5
2,0.6385964912280703,0.7192982456140351,0.631578947368421,0.631578947368421,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,5
3,0.7087719298245613,0.6929824561403509,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
4,0.8703703703703703,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,5
1,0.7368421052631579,0.8157894736842105,0.7368421052631579,0.7368421052631579,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,6
2,0.7192982456140351,0.7894736842105263,0.7368421052631579,0.7368421052631579,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,6
3,0.7263157894736841,0.6842105263157895,0.7894736842105263,0.7894736842105263,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,6
4,0.7370370370370369,0.7129629629629629,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6
1,0.7458646616541353,0.8280701754385965,0.7368421052631579,0.7368421052631579,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,7
2,0.6385964912280702,0.7719298245614036,0.5789473684210527,0.5789473684210527,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,7
3,0.7333333333333333,0.7017543859649124,0.7894736842105263,0.7894736842105263,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,7
4,0.7407407407407407,0.7592592592592592,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7
1,0.6842105263157895,0.7719298245614036,0.6842105263157895,0.6842105263157895,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,8
2,0.7719298245614036,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,8
3,0.7859649122807018,0.7543859649122806,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
4,0.7740740740740741,0.7407407407407407,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8
1,0.7017543859649124,0.7894736842105263,0.6842105263157895,0.6842105263157895,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,9
2,0.7134502923976608,0.7669172932330827,0.7368421052631579,0.7368421052631579,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,9
3,0.6315789473684211,0.6052631578947368,0.6842105263157895,0.6842105263157895,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,9
4,0.7222222222222222,0.6851851851851851,0.7777777777777778,0.7777777777777778,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9
1,0.6666666666666667,0.7192982456140351,0.6842105263157895,0.6842105263157895,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,10
2,0.7333333333333334,0.7807017543859649,0.7368421052631579,0.7368421052631579,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,10
3,0.6807017543859648,0.6491228070175439,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,10
4,0.6481481481481481,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10
1,0.6736842105263158,0.7192982456140351,0.6842105263157895,0.6842105263157895,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,11
2,0.8210526315789475,0.8596491228070174,0.8421052631578947,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,11
3,0.7859649122807018,0.7543859649122806,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11
4,0.6777777777777777,0.6481481481481483,0.7222222222222222,0.7222222222222222,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11
1,0.6912280701754385,0.7456140350877194,0.6842105263157895,0.6842105263157895,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,12
2,0.7368421052631579,0.8157894736842105,0.7368421052631579,0.7368421052631579,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,12
