fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
1,0.3443609022556391,0.30526315789473685,0.42105263157894735,0.42105263157894735,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.5,0.5,0.5,1
2,0.36491228070175435,0.4912280701754385,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,1
3,0.34074074074074073,0.31481481481481477,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.3,0.3055555555555556,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,1
1,0.38947368421052636,0.39473684210526316,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,2
2,0.543859649122807,0.5263157894736842,0.631578947368421,0.631578947368421,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,2
3,0.4740740740740741,0.4259259259259259,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,2
4,0.6037037037037037,0.6481481481481481,0.6111111111111112,0.6111111111111112,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,2
1,0.5403508771929825,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,3
2,0.5695906432748539,0.6791979949874687,0.5789473684210527,0.5789473684210527,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.4444444444444444,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,3
