fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
1,0.3864661654135338,0.34035087719298246,0.47368421052631576,0.47368421052631576,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,1
2,0.4105263157894737,0.5350877192982456,0.3684210526315789,0.3684210526315789,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.3333333333333333,0.25,0.5,1
3,0.34074074074074073,0.31481481481481477,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.26349206349206344,0.25740740740740736,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,1
1,0.38596491228070173,0.39473684210526316,0.42105263157894735,0.42105263157894735,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2
2,0.33157894736842103,0.3421052631578947,0.3684210526315789,0.3684210526315789,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.25,0.16666666666666666,0.5,2
3,0.36137566137566135,0.374074074074074,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.2857142857142857,0.2,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,0.4259259259259259,0.4722222222222222,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2
1,0.33383458646616543,0.287719298245614,0.42105263157894735,0.42105263157894735,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.5,0.5,0.5,3
2,0.4502923976608187,0.5037593984962406,0.47368421052631576,0.47368421052631576,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.4444444444444444,0.2857142857142857,1.0,3
3,0.3592592592592592,0.3703703703703704,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,3
4,0.4962962962962963,0.5185185185185185,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,3
1,0.3443609022556391,0.30526315789473685,0.42105263157894735,0.42105263157894735,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,4
2,0.4706766917293233,0.5508771929824562,0.47368421052631576,0.47368421052631576,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.5714285714285714,0.4,1.0,4
3,0.3666666666666667,0.3796296296296296,0.3888888888888889,0.3888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,4
4,0.4592592592592593,0.4629629629629629,0.5,0.5,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,4
1,0.37593984962406013,0.35789473684210527,0.42105263157894735,0.42105263157894735,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5
2,0.5403508771929825,0.543859649122807,0.5789473684210527,0.5789473684210527,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.4,0.3333333333333333,0.5,5
3,0.34074074074074073,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,5
4,0.3111111111111111,0.2962962962962963,0.3888888888888889,0.3888888888888889,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,5
1,0.3017543859649123,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6
2,0.4456140350877193,0.5,0.47368421052631576,0.47368421052631576,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6
3,0.437037037037037,0.49537037037037035,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.4,0.25,1.0,0.6666666666666666,1.0,0.5,6
